代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz002291,002291.SZ,遥望科技,广告包装,互联网广告,深交所,主板,206510892.0,0.0,15,全A基础池扩展补充
sh688305,688305.SH,科德数控,机床制造,机床制造,上交所,科创板,248058769.0,0.0,14,全A基础池扩展补充
sz301603,301603.SZ,乔锋智能,机床制造,机床制造,深交所,创业板,503972078.0,0.0,10,全A基础池扩展补充
sz002190,002190.SZ,成飞集成,汽车配件,其他汽车零部件,深交所,主板,601179321.0,0.0,9,全A基础池扩展补充
sh603123,603123.SH,翠微股份,多元金融,其他金融服务,上交所,主板,238888421.0,0.0,14,全A基础池扩展补充
sz300537,300537.SZ,广信材料,染料涂料,半导体材料,深交所,创业板,285826543.0,0.0,13,全A基础池扩展补充
sh603269,603269.SH,海鸥股份,机械基件,其他通用设备,上交所,主板,860194254.0,0.0,7,全A基础池扩展补充
sz300275,300275.SZ,梅安森,工程机械,能源及重型设备,深交所,创业板,78414144.0,0.0,27,全A基础池扩展补充
sh600805,600805.SH,悦达投资,综合类,综合类,上交所,主板,78400329.0,0.0,20,全A基础池扩展补充
sz300200,300200.SZ,高盟新材,化工原料,胶黏剂及胶带,深交所,创业板,492996522.0,0.0,10,全A基础池扩展补充
sh600545,600545.SH,卓郎智能,纺织机械,纺织服装设备,上交所,主板,1488353923.0,0.0,4,全A基础池扩展补充
sz002398,002398.SZ,垒知集团,其他建材,其他建材,深交所,主板,77532171.0,0.0,29,全A基础池扩展补充
sz300553,300553.SZ,集智股份,电器仪表,仪器仪表,深交所,创业板,704367189.0,0.0,8,全A基础池扩展补充
sz002912,002912.SZ,中新赛克,IT设备,其他IT设备,深交所,主板,77183115.0,0.0,23,全A基础池扩展补充
sz002301,002301.SZ,齐心集团,文教休闲,文化用品,深交所,主板,231137715.0,0.0,14,全A基础池扩展补充
sz300071,300071.SZ,福石控股,广告包装,互联网广告,深交所,创业板,230764288.0,0.0,14,全A基础池扩展补充
sz301233,301233.SZ,盛帮股份,汽车配件,车身附件及饰件,深交所,创业板,110105193.0,0.0,18,全A基础池扩展补充
sz002383,002383.SZ,合众思壮,通信设备,其他通信设备,深交所,主板,159075509.0,0.0,16,全A基础池扩展补充
sz002165,002165.SZ,红 宝 丽,化工原料,聚氨酯,深交所,主板,1200123783.0,0.0,5,全A基础池扩展补充
sh603110,603110.SH,东方材料,染料涂料,涂料油墨,上交所,主板,688317279.0,0.0,8,全A基础池扩展补充
sh688157,688157.SH,松井股份,染料涂料,涂料油墨,上交所,科创板,75206296.0,0.0,20,全A基础池扩展补充
sz002940,002940.SZ,昂利康,化学制药,化学制剂,深交所,主板,1191548347.0,0.0,5,全A基础池扩展补充
sz300284,300284.SZ,苏交科,建筑工程,工程咨询服务,深交所,创业板,75047386.0,0.0,20,全A基础池扩展补充
sz300988,300988.SZ,津荣天宇,机械基件,金属制品,深交所,创业板,156420683.0,0.0,16,全A基础池扩展补充
sh600163,600163.SH,中闽能源,新型电力,风力发电,上交所,主板,818194713.0,0.0,7,全A基础池扩展补充
sh688733,688733.SH,壹石通,矿物制品,电池化学品,上交所,科创板,470448483.0,0.0,10,全A基础池扩展补充
sz300828,300828.SZ,锐新科技,机械基件,金属制品,深交所,创业板,390595577.0,0.0,11,全A基础池扩展补充
sh688685,688685.SH,迈信林,航空,航空装备,上交所,科创板,389047322.0,0.0,11,全A基础池扩展补充
sz300354,300354.SZ,东华测试,电器仪表,仪器仪表,深交所,创业板,89097610.0,0.0,19,全A基础池扩展补充
sz300019,300019.SZ,硅宝科技,化工原料,有机硅,深交所,创业板,153134836.0,0.0,16,全A基础池扩展补充
sz300745,300745.SZ,欣锐科技,汽车配件,其他汽车零部件,深交所,创业板,555516524.0,0.0,9,全A基础池扩展补充
sz301397,301397.SZ,溯联股份,汽车配件,底盘与发动机系统,深交所,创业板,316727737.0,0.0,12,全A基础池扩展补充
sh603390,603390.SH,通达电气,汽车配件,汽车电子电气系统,上交所,主板,180060084.0,0.0,15,全A基础池扩展补充
sz300538,300538.SZ,同益股份,塑料,改性塑料,深交所,创业板,101937397.0,0.0,18,全A基础池扩展补充
sz002599,002599.SZ,盛通股份,广告包装,印刷,深交所,主板,101028564.0,0.0,18,全A基础池扩展补充
sh688386,688386.SH,泛亚微透,化工原料,塑料薄膜,上交所,科创板,174848884.0,0.0,15,全A基础池扩展补充
sz301363,301363.SZ,美好医疗,医疗保健,医疗设备,深交所,创业板,917137913.0,0.0,6,全A基础池扩展补充
sh601139,601139.SH,深圳燃气,供气供热,燃气,上交所,主板,362315616.0,0.0,11,全A基础池扩展补充
sh600488,600488.SH,津药药业,化学制药,原料药,上交所,主板,1898950070.0,0.0,2,全A基础池扩展补充
sh600683,600683.SH,京投发展,区域地产,住宅开发,上交所,主板,1082723420.0,0.0,5,全A基础池扩展补充
sh603960,603960.SH,克来机电,汽车配件,汽车电子电气系统,上交所,主板,247406818.0,0.0,13,全A基础池扩展补充
sz300258,300258.SZ,精锻科技,汽车配件,底盘与发动机系统,深交所,创业板,423696142.0,0.0,10,全A基础池扩展补充
sh688595,688595.SH,芯海科技,半导体,集成电路设计,上交所,科创板,202079498.0,0.0,14,全A基础池扩展补充
sh603178,603178.SH,圣龙股份,汽车配件,底盘与发动机系统,上交所,主板,726566339.0,0.0,7,全A基础池扩展补充
sh600996,600996.SH,贵广网络,影视音像,广播电视,上交所,主板,240456731.0,0.0,13,全A基础池扩展补充
sz002454,002454.SZ,松芝股份,汽车配件,汽车电子电气系统,深交所,主板,415892904.0,0.0,10,全A基础池扩展补充
sh600990,600990.SH,四创电子,通信设备,军工电子,上交所,主板,136951180.0,0.0,16,全A基础池扩展补充
sz002869,002869.SZ,金溢科技,通信设备,其他电子,深交所,主板,65116257.0,0.0,21,全A基础池扩展补充
